month,nums_category_img,count,total,proportion
03,63,1,4745,0.00021074815595363542
03,64,1,4745,0.00021074815595363542
03,65,1,4745,0.00021074815595363542
03,66,1,4745,0.00021074815595363542
03,67,3,4745,0.0006322444678609062
03,68,2,4745,0.00042149631190727084
03,70,3,4745,0.0006322444678609062
03,71,4,4745,0.0008429926238145417
03,73,1,4745,0.00021074815595363542
03,75,1,4745,0.00021074815595363542
03,76,4,4745,0.0008429926238145417
03,77,3,4745,0.0006322444678609062
03,79,1,4745,0.00021074815595363542
03,82,1,4745,0.00021074815595363542
03,83,6,4745,0.0012644889357218123
03,84,2,4745,0.00042149631190727084
03,85,1,4745,0.00021074815595363542
03,87,3,4745,0.0006322444678609062
03,88,4,4745,0.0008429926238145417
03,89,2,4745,0.00042149631190727084
03,90,1,4745,0.00021074815595363542
03,91,1,4745,0.00021074815595363542
03,92,2,4745,0.00042149631190727084
03,94,4,4745,0.0008429926238145417
03,95,1,4745,0.00021074815595363542
03,96,4,4745,0.0008429926238145417
03,97,4,4745,0.0008429926238145417
03,98,7,4745,0.0014752370916754477
03,99,5,4745,0.001053740779768177
04,0,329,5853,0.056210490346830684
04,1,230,5853,0.03929608747650777
04,2,379,5853,0.06475311805911499
04,3,194,5853,0.03314539552366308
04,4,537,5853,0.09174782162993336
04,5,160,5853,0.027336408679309757
04,6,424,5853,0.07244148300017085
04,7,227,5853,0.038783529813770715
04,8,132,5853,0.02255253716043055
04,9,359,5853,0.06133606697420126
04,10,253,5853,0.043225696224158554
04,11,146,5853,0.02494447291987015
04,12,165,5853,0.028190671450538187
04,13,213,5853,0.036391594054331115
04,14,326,5853,0.05569793268409363
04,15,313,5853,0.05347684947889971
04,16,173,5853,0.029557491884503673
04,17,416,5853,0.07107466256620537
04,18,330,5853,0.056381342901076374
04,19,286,5853,0.04886383051426619
04,20,17,5853,0.0029044934221766614
04,22,9,5853,0.0015376729882111738
04,23,2,5853,0.00034170510849137196
04,24,1,5853,0.00017085255424568598
04,25,1,5853,0.00017085255424568598
04,26,4,5853,0.0006834102169827439
04,27,6,5853,0.0010251153254741158
04,30,1,5853,0.00017085255424568598
04,31,5,5853,0.0008542627712284299
04,32,1,5853,0.00017085255424568598
04,34,2,5853,0.00034170510849137196
04,36,1,5853,0.00017085255424568598
04,37,2,5853,0.00034170510849137196
04,38,13,5853,0.002221083205193918
04,39,1,5853,0.00017085255424568598
04,41,1,5853,0.00017085255424568598
04,42,7,5853,0.0011959678797198018
04,43,4,5853,0.0006834102169827439
04,44,3,5853,0.0005125576627370579
04,45,3,5853,0.0005125576627370579
04,46,2,5853,0.00034170510849137196
04,47,4,5853,0.0006834102169827439
04,48,1,5853,0.00017085255424568598
04,49,15,5853,0.0025627883136852894
04,50,3,5853,0.0005125576627370579
04,51,11,5853,0.0018793780967025456
04,52,6,5853,0.0010251153254741158
04,53,6,5853,0.0010251153254741158
04,54,7,5853,0.0011959678797198018
04,55,2,5853,0.00034170510849137196
04,59,5,5853,0.0008542627712284299
04,60,1,5853,0.00017085255424568598
04,61,4,5853,0.0006834102169827439
04,62,2,5853,0.00034170510849137196
04,63,5,5853,0.0008542627712284299
04,64,1,5853,0.00017085255424568598
04,66,3,5853,0.0005125576627370579
04,67,1,5853,0.00017085255424568598
04,68,2,5853,0.00034170510849137196
04,69,2,5853,0.00034170510849137196
04,70,7,5853,0.0011959678797198018
04,71,1,5853,0.00017085255424568598
04,72,2,5853,0.00034170510849137196
04,73,3,5853,0.0005125576627370579
04,74,1,5853,0.00017085255424568598
04,75,4,5853,0.0006834102169827439
04,76,3,5853,0.0005125576627370579
04,77,1,5853,0.00017085255424568598
04,79,3,5853,0.0005125576627370579
04,80,1,5853,0.00017085255424568598
04,82,7,5853,0.0011959678797198018
04,83,8,5853,0.0013668204339654878
04,84,4,5853,0.0006834102169827439
04,85,2,5853,0.00034170510849137196
04,86,3,5853,0.0005125576627370579
04,87,1,5853,0.00017085255424568598
04,88,4,5853,0.0006834102169827439
04,89,5,5853,0.0008542627712284299
04,90,5,5853,0.0008542627712284299
04,91,1,5853,0.00017085255424568598
04,93,4,5853,0.0006834102169827439
04,94,4,5853,0.0006834102169827439
04,95,6,5853,0.0010251153254741158
04,96,2,5853,0.00034170510849137196
04,97,6,5853,0.0010251153254741158
04,98,3,5853,0.0005125576627370579
04,99,3,5853,0.0005125576627370579
05,0,548,8672,0.06319188191881919
05,1,297,8672,0.034248154981549817
05,2,480,8672,0.055350553505535055
05,3,372,8672,0.04289667896678967
05,4,775,8672,0.08936808118081181
05,5,276,8672,0.031826568265682656
05,6,579,8672,0.06676660516605167
05,7,405,8672,0.0467020295202952
05,8,159,8672,0.01833487084870849
05,9,475,8672,0.0547739852398524
05,10,440,8672,0.0507380073800738
05,11,106,8672,0.012223247232472324
05,12,342,8672,0.03943726937269373
05,13,335,8672,0.038630073800738005
05,14,460,8672,0.05304428044280443
05,15,490,8672,0.05650369003690037
05,16,239,8672,0.027559963099630998
05,17,487,8672,0.05615774907749078
05,18,545,8672,0.0628459409594096
05,19,502,8672,0.057887453874538745
05,20,9,8672,0.0010378228782287823
05,21,3,8672,0.00034594095940959407
05,22,4,8672,0.00046125461254612545
05,23,1,8672,0.00011531365313653136
05,24,1,8672,0.00011531365313653136
05,26,5,8672,0.0005765682656826568
05,28,1,8672,0.00011531365313653136
05,29,1,8672,0.00011531365313653136
05,30,11,8672,0.001268450184501845
05,31,10,8672,0.0011531365313653136
05,33,5,8672,0.0005765682656826568
05,34,3,8672,0.00034594095940959407
05,36,1,8672,0.00011531365313653136
05,37,6,8672,0.0006918819188191881
05,38,16,8672,0.0018450184501845018
05,39,2,8672,0.00023062730627306272
05,40,1,8672,0.00011531365313653136
05,41,1,8672,0.00011531365313653136
05,42,5,8672,0.0005765682656826568
05,43,7,8672,0.0008071955719557196
05,44,2,8672,0.00023062730627306272
05,45,1,8672,0.00011531365313653136
